name,address,city,country,price,cuisine,url,award,greenstar,stars,longitude,latitude
Olive Tree,"4-7 Russel Street, Bath, BA1 2QF, United Kingdom",Bath,United Kingdom,££££,Modern Cuisine,https://olivetreebath.co.uk,1 Star,0,1.0,-2.3630903,51.3872068
Veeraswamy,"Victory House, 99 Regent Street, Mayfair, London, W1B 4RS, United Kingdom",London,United Kingdom,£££,Indian,https://www.veeraswamy.com/,1 Star,0,1.0,-0.1378262,51.5099619
Dysart Petersham,"135 Petersham Road, Richmond, London, TW10 7AA, United Kingdom",London,United Kingdom,££££,Modern Cuisine,https://www.thedysartpetersham.co.uk,1 Star,0,1.0,-0.2996555,51.4464732
Simpsons,"20 Highfield Road, Edgbaston, Birmingham, B15 3DU, United Kingdom",Birmingham,United Kingdom,££££,Modern Cuisine,https://www.simpsonsrestaurant.co.uk,1 Star,0,1.0,-1.9225752,52.4683078
Chez Bruce,"2 Bellevue Road, Wandsworth, London, SW17 7EG, United Kingdom",London,United Kingdom,£££,French,https://www.chezbruce.co.uk/,1 Star,0,1.0,-0.1653296,51.4464026
The Harwood Arms,"Walham Grove, Fulham, London, SW6 1QP, United Kingdom",London,United Kingdom,£££,Modern British,https://harwoodarms.com,1 Star,0,1.0,-0.1964558,51.4828975
La Trompette,"3-7 Devonshire Road, Chiswick, London, W4 2EU, United Kingdom",London,United Kingdom,££££,Modern British,https://www.latrompette.co.uk/,1 Star,0,1.0,-0.25431,51.48946
Luca,"88 St John Street, Clerkenwell, London, EC1M 4EH, United Kingdom",London,United Kingdom,£££,Italian,https://luca.restaurant/,1 Star,0,1.0,-0.1018292,51.5223158
Skof,"3 Federation Street, Manchester, M4 4BF, United Kingdom",Manchester,United Kingdom,££££,"Creative, Modern Cuisine",https://www.skofmanchester.co.uk,1 Star,0,1.0,-2.2401307,53.486389
Elystan Street,"43 Elystan Street, Chelsea, London, SW3 3NT, United Kingdom",London,United Kingdom,£££,"Modern British, Mediterranean Cuisine",https://www.elystanstreet.com/,1 Star,0,1.0,-0.1675485,51.4915449
AVERY,"54 Saint Stephen Street, Edinburgh, EH3 5AL, United Kingdom",Edinburgh,United Kingdom,££££,Creative,https://www.averyedi.co.uk/,1 Star,0,1.0,-3.2064362,55.9578621
Chishuru,"3 Great Titchfield Street, Fitzrovia, London, W1W 8AX, United Kingdom",London,United Kingdom,£££,African,https://www.chishuru.com,1 Star,0,1.0,-0.1399754,51.5167307
Pavyllon London,"Four Seasons Hotel, Hamilton Place, Mayfair, London, W1J 7DR, United Kingdom",London,United Kingdom,££££,French Contemporary,https://www.pavyllonlondon.com/,1 Star,0,1.0,-0.150181,51.5045981
Sushi Kanesaka,"45 Park Lane, Mayfair, London, W1K 1PN, United Kingdom",London,United Kingdom,££££,"Japanese, Sushi",https://www.dorchestercollection.com/en/london/45-park-lane/restaurants-bars/sushi-kanesaka/,1 Star,0,1.0,-0.1517726,51.5064815
64 Goodge Street,"64 Goodge Street, Fitzrovia, London, W1T 4NF, United Kingdom",London,United Kingdom,£££,French,https://64goodgestreet.co.uk,1 Star,0,1.0,-0.1368487,51.5190312
St. Barts,"63 Bartholomew Close, City of London, London, EC1A 7BF, United Kingdom",London,United Kingdom,££££,Modern British,https://www.restaurant-stbarts.co.uk/,1 Star,1,1.0,-0.0992181,51.5183271
SOURCE at Gilpin Hotel,"Crook Road, Bowness-on-Windermere, LA23 3NE, United Kingdom",Bowness-on-Windermere,United Kingdom,££££,Modern Cuisine,https://thegilpin.co.uk/eat-and-drink/source/,1 Star,0,1.0,-2.8814264,54.3555618
Cedar Tree by Hrishikesh Desai,"Farlam Hall Hotel, Hallbankgate, Brampton, CA8 2NG, United Kingdom",Brampton,United Kingdom,££££,Modern Cuisine,https://www.farlamhall.com,1 Star,0,1.0,-2.6728565,54.9341337
Taku,"36 Albemarle Street, Mayfair, London, W1S 4JE, United Kingdom",London,United Kingdom,££££,"Japanese, Sushi",https://www.takumayfair.com/,1 Star,0,1.0,-0.1419157,51.5089202
Aulis,"16 St Anne's Court, Soho, London, W1F 0BF, United Kingdom",London,United Kingdom,££££,Creative British,https://www.aulis.co.uk/aulis-london,1 Star,0,1.0,-0.1343223,51.5143368
The Muddlers Club,"1 Warehouse Lane, Belfast, BT1 2DX, United Kingdom",Belfast,United Kingdom,£££,Modern Cuisine,https://themuddlersclubbelfast.com/,1 Star,0,1.0,-5.9273665,54.6015177
Walnut Tree,"Llanddewi Skirrid, NP7 8AW, United Kingdom",Llanddewi Skirrid,United Kingdom,£££,Modern British,https://www.thewalnuttreeinn.com/,1 Star,0,1.0,-2.9632276,51.8435039
OX,"1 Oxford Street, Belfast, BT1 3LA, United Kingdom",Belfast,United Kingdom,£££,Modern British,https://oxbelfast.com/,1 Star,0,1.0,-5.9220051,54.599262
Cycene,"Blue Mountain School, 9 Chance Street, Shoreditch, London, E2 7JB, United Kingdom",London,United Kingdom,££££,Modern Cuisine,https://www.bluemountain.school/cycene,1 Star,0,1.0,-0.0752056,51.5244846
Beach House,"Oxwich Beach, Oxwich, SA3 1LS, United Kingdom",Oxwich,United Kingdom,££££,Modern Cuisine,https://beachhouseoxwich.co.uk/,1 Star,0,1.0,-4.1611699,51.5574223
