record_type,previous_year,current_year,previous_row,current_row,previous_name,current_name,previous_address,current_address,previous_location,current_location,department,region,previous_award,current_award,previous_stars,current_stars,previous_greenstar,current_greenstar,change_types,material,matching_method,matching_confidence,review_status,match_evidence
comparison,2023,2024,540.0,172.0,Anona,Anona,80 boulevard des Batignolles,80 boulevard des Batignolles,"Paris, 75017","Paris, 75017",Paris,Île-de-France,1 MICHELIN Star,1 Star,1.0,1.0,,,unchanged,False,exact_url_postal,1.0,not_required,normalized_url+postal_code
comparison,2023,2024,299.0,625.0,Apicius,Apicius,20 rue d'Artois,20 rue d'Artois,"Paris, 75008","Paris, 75008",Paris,Île-de-France,1 MICHELIN Star,1 Star,1.0,1.0,,,unchanged,False,exact_url_postal,1.0,not_required,normalized_url+postal_code
comparison,2023,2024,360.0,307.0,Apicius,Apicius,Place du Marché-Saint-Pierre (à l'étage),Place du Marché-Saint-Pierre (à l'étage),"Clermont-Ferrand, 63000","Clermont-Ferrand, 63000",Puy-de-Dôme,Auvergne-Rhône-Alpes,1 MICHELIN Star,1 Star,1.0,1.0,,,unchanged,False,exact_url_postal,1.0,not_required,normalized_url+postal_code
comparison,2023,2024,483.0,459.0,Arbore & Sens,Arbore & Sens,22 rue Balzac,22 rue Balzac,"Loches, 37600","Loches, 37600",Indre-et-Loire,Centre-Val de Loire,1 MICHELIN Star,1 Star,1.0,1.0,,,unchanged,False,exact_url_postal,1.0,not_required,normalized_url+postal_code
comparison,2023,2024,141.0,229.0,Arborescence,Arborescence,76 rue de la Gare,76 rue de la Gare,"Croix, 59170","Croix, 59170",Nord,Hauts-de-France,1 MICHELIN Star,1 Star,1.0,1.0,,,unchanged,False,exact_url_postal,1.0,not_required,normalized_url+postal_code
comparison,2023,2024,805.0,868.0,Arkadia,Arkadia,9 rue du Barry,9 rue du Barry,"Vallon-Pont-d'Arc, 07150","Vallon-Pont-d'Arc, 07150",Ardèche,Auvergne-Rhône-Alpes,Bib Gourmand,Bib Gourmand,0.5,0.5,,,unchanged,False,exact_url_postal,1.0,not_required,normalized_url+postal_code
comparison,2023,2024,308.0,378.0,Armani Ristorante,Armani Ristorante,7 place du Québec,7 place du Québec,"Paris, 75006","Paris, 75006",Paris,Île-de-France,1 MICHELIN Star,1 Star,1.0,1.0,,,unchanged,False,exact_name_postal,1.0,not_required,normalized_name+postal_code
comparison,2023,2024,14.0,15.0,Arpège,Arpège,84 rue de Varenne,84 rue de Varenne,"Paris, 75007","Paris, 75007",Paris,Île-de-France,3 MICHELIN Stars,3 Stars,3.0,3.0,,,unchanged,False,exact_url_postal,1.0,not_required,normalized_url+postal_code
comparison,2023,2024,5.0,22.0,Assiette Champenoise,Assiette Champenoise,"40 avenue Paul-Vaillant-Couturier, à Tinqueux","40 avenue Paul-Vaillant-Couturier, à Tinqueux","Reims, 51430","Reims, 51430",Marne,Grand Est,3 MICHELIN Stars,3 Stars,3.0,3.0,,,unchanged,False,exact_url_postal,1.0,not_required,normalized_url+postal_code
comparison,2023,2024,167.0,481.0,Astrance,Astrance,32 rue de Longchamp,32 rue de Longchamp,"Paris, 75016","Paris, 75016",Paris,Île-de-France,1 MICHELIN Star,1 Star,1.0,1.0,,,unchanged,False,exact_url_postal,1.0,not_required,normalized_url+postal_code
comparison,2023,2024,920.0,696.0,Atelier Salone,Atelier Salone,6 rue du Maréchal-Joffre,6 rue du Maréchal-Joffre,"Salon-de-Provence, 13300","Salon-de-Provence, 13300",Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,Bib Gourmand,Bib Gourmand,0.5,0.5,,,unchanged,False,exact_url_postal,1.0,not_required,normalized_url+postal_code
comparison,2023,2024,261.0,576.0,Atmosphères,Atmosphères,618 route des Tournelles,618 route des Tournelles,"Le Bourget-du-Lac, 73370","Le Bourget-du-Lac, 73370",Savoie,Auvergne-Rhône-Alpes,1 MICHELIN Star,1 Star,1.0,1.0,,,unchanged,False,exact_name_postal,1.0,not_required,normalized_name+postal_code
comparison,2023,2024,190.0,522.0,Au 14 Février,Au 14 Février,36 rue du Bœuf,36 rue du Bœuf,"Lyon, 69005","Lyon, 69005",Rhône,Auvergne-Rhône-Alpes,1 MICHELIN Star,1 Star,1.0,1.0,,,unchanged,False,exact_url_postal,1.0,not_required,normalized_url+postal_code
comparison,2023,2024,311.0,393.0,Au 14 Février,Au 14 Février,2 rue du Portail,2 rue du Portail,"Saint-Valentin, 36100","Saint-Valentin, 36100",Indre,Centre-Val de Loire,1 MICHELIN Star,1 Star,1.0,1.0,,,unchanged,False,exact_url_postal,1.0,not_required,normalized_url+postal_code
comparison,2023,2024,776.0,837.0,Au Bon Accueil,Au Bon Accueil,23 place Saint-Michel,23 place Saint-Michel,"Juvigny-sous-Andaine, 61140","Juvigny-sous-Andaine, 61140",Orne,Normandie,Bib Gourmand,Bib Gourmand,0.5,0.5,,,unchanged,False,exact_url_postal,1.0,not_required,normalized_url+postal_code
comparison,2023,2024,935.0,749.0,Au Bon Accueil,Au Bon Accueil,14 rue de Monttessuy,14 rue de Monttessuy,"Paris, 75007","Paris, 75007",Paris,Île-de-France,Bib Gourmand,Bib Gourmand,0.5,0.5,,,unchanged,False,exact_url_postal,1.0,not_required,normalized_url+postal_code
comparison,2023,2024,997.0,826.0,Au Bon Accueil,Au Bon Accueil,1 rue de Laval,1 rue de Laval,"Richardménil, 54630","Richardménil, 54630",Meurthe-et-Moselle,Grand Est,Bib Gourmand,Bib Gourmand,0.5,0.5,,,unchanged,False,exact_url_postal,1.0,not_required,normalized_url+postal_code
comparison,2023,2024,657.0,973.0,Au Clair de la Vigne,Au Clair de la Vigne,25 rue du Docteur-Louis-Marçon,25 rue du Docteur-Louis-Marçon,"Bandol, 83150","Bandol, 83150",Var,Provence-Alpes-Côte d'Azur,Bib Gourmand,Bib Gourmand,0.5,0.5,,,unchanged,False,exact_url_postal,1.0,not_required,normalized_url+postal_code
comparison,2023,2024,768.0,843.0,Au Coin des Halles,Au Coin des Halles,9 rue Gambetta,9 rue Gambetta,"Langeais, 37130","Langeais, 37130",Indre-et-Loire,Centre-Val de Loire,Bib Gourmand,Bib Gourmand,0.5,0.5,,,unchanged,False,exact_url_postal,1.0,not_required,normalized_url+postal_code
comparison,2023,2024,726.0,938.0,Au Colombier,Au Colombier,126 allée Colombier,126 allée Colombier,"Anse, 69480","Anse, 69480",Rhône,Auvergne-Rhône-Alpes,Bib Gourmand,Bib Gourmand,0.5,0.5,,,unchanged,False,exact_url_postal,1.0,not_required,normalized_url+postal_code
comparison,2023,2024,618.0,275.0,Au Crocodile,Au Crocodile,10 rue de l'Outre,10 rue de l'Outre,"Strasbourg, 67000","Strasbourg, 67000",Bas-Rhin,Grand Est,1 MICHELIN Star,1 Star,1.0,1.0,,,unchanged,False,exact_url_postal,1.0,not_required,normalized_url+postal_code
comparison,2023,2024,265.0,573.0,Au Gourmet,Au Gourmet,4 route de Herrlisheim,4 route de Herrlisheim,"Drusenheim, 67410","Drusenheim, 67410",Bas-Rhin,Grand Est,1 MICHELIN Star,1 Star,1.0,1.0,,,unchanged,False,exact_url_postal,1.0,not_required,normalized_url+postal_code
comparison,2023,2024,672.0,907.0,Au Lion d'Or - Chez Théo,Au Lion d'Or - Chez Théo,5 rue Village-Neuf,5 rue Village-Neuf,"Rosenau, 68128","Rosenau, 68128",Haut-Rhin,Grand Est,Bib Gourmand,Bib Gourmand,0.5,0.5,,,unchanged,False,exact_url_postal,1.0,not_required,normalized_url+postal_code
comparison,2023,2024,870.0,853.0,Au Petit Vatel,Au Petit Vatel,72 place du Commandant-Desmeulles,72 place du Commandant-Desmeulles,"Alençon, 61000","Alençon, 61000",Orne,Normandie,Bib Gourmand,Bib Gourmand,0.5,0.5,,,unchanged,False,exact_url_postal,1.0,not_required,normalized_url+postal_code
comparison,2023,2024,690.0,995.0,Au Plaisir Ambré,Au Plaisir Ambré,26 Grande Rue,26 Grande Rue,"Briançon, 05100","Briançon, 05100",Hautes-Alpes,Provence-Alpes-Côte d'Azur,Bib Gourmand,Bib Gourmand,0.5,0.5,,,unchanged,False,exact_url_postal,1.0,not_required,normalized_url+postal_code
