Insee - Statistiques locales; ; ; ; ; ; 
Référentiel géographique : France par arrondissement; ; ; ; ; ; 
Code;Libellé;Nb de pers. non scolarisées de 15 ans ou + 2021;Salaire net horaire moyen 2022;Population municipale 2022;Densité de population (historique depuis 1876) 2021;Taux de pauvreté 2021
603;Compiègne;132945;16.86;182372;142.9;13.5
604;Senlis;203604;18.01;287165;212.1;14.7
611;Alençon;64888;13.86;84817;54.8;16.3
612;Argentan;83701;13.71;107283;56.5;15.1
613;Mortagne-au-Perche;66681;14.14;84044;31.9;15.4
621;Arras;184338;15.2;249836;111.3;13.9
622;Béthune;214591;14.7;292660;412.9;17.9
623;Boulogne-sur-Mer;117383;14.21;157976;249;18.5
624;Montreuil;85558;14.29;110251;83.6;15.2
625;Saint-Omer;95036;14.39;128455;158.8;16.2
626;Calais;111549;14.77;152282;256.3;19.8
627;Lens;267334;13.73;368724;1051.2;23.2
631;Ambert;22609;14.39;27596;22.4;17.8
632;Clermont-Ferrand;258067;16.42;363807;410;14.7
633;Issoire;61598;14.51;78817;34.3;13.4
634;Riom;104836;15.96;137711;50.7;10.7
635;Thiers;43784;14.53;56454;65.9;14.9
641;Bayonne;242259;15.56;313188;136.4;12.2
642;Oloron-Sainte-Marie;57657;14.24;71846;25.3;14.3
643;Pau;234190;16.22;314439;122.4;12.7
651;Argelès-Gazost;30832;13.25;37449;29.1;16.5
652;Bagnères-de-Bigorre;39504;14.05;48361;27;15.6
653;Tarbes;111217;14.03;145643;105;16
661;Céret;108248;13.93;136277;110.9;17.3
662;Perpignan;219623;14.17;295776;405.5;23.1
663;Prades;47068;13.57;60911;27.8;21
672;Haguenau-Wissembourg;189354;15.65;245084;171.5;8.9
673;Molsheim;80182;16.72;104667;135.4;7.2
674;Saverne;99957;16.33;129260;104.5;8.1
675;Sélestat-Erstein;121886;16.37;160566;162.8;8.3
678;Strasbourg;353331;16.09;517386;1524.4;20.7
681;Altkirch;53705;15.49;69934;105.5;7
682;Colmar-Ribeauvillé;162135;15.94;211108;169.2;11.5
684;Mulhouse;263466;14.98;357005;503.6;17.8
686;Thann-Guebwiller;100146;15.65;129753;143.2;9.7
691;Lyon;1129432;18.46;1648903;1067.3;15.4
692;Villefranche-sur-Saône;187163;17.16;259079;149.2;11.1
701;Lure;82810;14.49;106255;56.4;14.4
702;Vesoul;97533;14.13;127665;36.8;12.9
711;Autun;99748;14.57;125580;63.1;14.9
712;Chalon-sur-Saône;119314;15.41;155349;105;12.4
713;Charolles;68520;14.23;84782;34.8;12.8
714;Louhans;53192;14.04;67587;47;12.3
715;Mâcon;87683;15.08;115838;94.2;13.8
721;La Flèche;112481;14.14;148675;59;11.2
722;Mamers;113667;14.01;149436;51.5;11.2
723;Le Mans;194275;15.58;268018;343.2;16
731;Albertville;86583;15.8;112282;45.5;12.8
732;Chambéry;213045;16.62;290377;181.3;10.5
733;Saint-Jean-de-Maurienne;33651;15.74;42629;21.6;11.2
741;Annecy;217968;17.33;294784;233.7;7.9
742;Bonneville;145627;16.08;195821;127.3;9.7
743;Saint-Julien-en-Genevois;142554;14.95;199838;300.1;11.9
744;Thonon-les-Bains;116908;15.58;159140;165.3;9.5
751;Paris;1552859;27.88;2113705;20238.2;15.6
761;Dieppe;178744;14.71;232105;74.5;13.7
762;Le Havre;281859;16.37;384798;314.4;15.4
763;Rouen;456789;16.06;643302;330.2;16
771;Meaux;239648;16.73;346066;255.3;11.9
772;Melun;197042;16.49;294174;469.5;14.1
773;Provins;132894;15.94;186614;79.5;13.4
774;Fontainebleau;116612;19.55;156658;127.4;10.3
775;Torcy;320420;18.25;468887;1210;12.1
781;Mantes-la-Jolie;193839;17.16;282318;369.7;16.5
782;Rambouillet;165004;22.86;233531;233.5;6.7
783;Saint-Germain-en-Laye;368766;26.55;534403;1503.1;9.6
784;Versailles;288019;24.22;420526;2231.7;9.8
791;Bressuire;83006;13.38;109509;56.5;13.8
792;Niort;153341;16.11;200497;81.6;11.3
793;Parthenay;51077;13.83;65409;40.5;13.7
801;Abbeville;95738;13.8;121655;78.5;15.9
802;Amiens;213948;15.19;305111;129.9;17.1
803;Montdidier;34764;14.92;46804;60;13.3
804;Péronne;70057;14.43;91970;62.3;16.3
811;Albi;149649;14.65;197448;71.6;15.7
812;Castres;152993;14.88;198720;65.5;15.8
821;Castelsarrasin;60462;14.08;79088;49.3;19.3
822;Montauban;137769;14.75;185836;87.1;15.6
831;Draguignan;250273;15.37;323222;142.4;16.2
832;Toulon;460804;15.54;594482;478.9;15.7
833;Brignoles;143619;15.65;190660;74.8;14.5
841;Apt;98847;15.63;127798;92;17.1
842;Avignon;153735;14.79;213587;624.8;23.1
843;Carpentras;172046;14.97;227317;122.9;18.5
851;Fontenay-le-Comte;108049;13.67;140477;60.6;11.3
852;La Roche-sur-Yon;221771;14.44;306623;122.4;8.2
853;Les Sables-d'Olonne;207339;14.39;259243;132.6;9
861;Châtellerault;83148;14.23;107316;54.2;15.7
862;Montmorillon;52760;13.64;65431;22.9;16.3
863;Poitiers;184743;14.9;265941;124.9;13.8
871;Bellac;31107;13.41;37864;21.3;17.8
872;Limoges;220006;14.8;296849;100.6;16.1
873;Rochechouart;30306;14.26;37725;47.4;15
881;Épinal;145299;14.41;187306;85.1;15.3
882;Neufchâteau;55184;14.42;69872;30.7;14.3
883;Saint-Dié-des-Vosges;80125;14.06;101522;74.5;16.1
891;Auxerre;125499;14.49;161906;47.2;14.4
892;Avallon;33139;13.78;40669;19.6;15.6
893;Sens;98568;14.98;131321;68.2;15.3
901;Belfort;102910;16.38;140082;229.2;16.3
911;Étampes;95824;17.78;133605;156.4;9
912;Évry;371171;16.86;546675;1157.1;17.4
913;Palaiseau;444599;19.77;644266;1318;12
921;Antony;284997;23.81;408084;8579.9;11
922;Nanterre;636161;27.03;920613;9929.8;14.1
923;Boulogne-Billancourt;227837;29.61;318738;8709;9.1
931;Bobigny;299850;16.29;441048;11211.7;27.7
932;Le Raincy;524320;15.69;786876;5196.2;24.4
933;Saint-Denis;297148;14.24;453801;9534.5;36.2
941;Créteil;223349;17.88;324088;3243.2;16.6
942;Nogent-sur-Marne;365454;23.02;516281;9111.5;12.1
943;L'Haÿ-les-Roses;393878;16.94;579162;6506.6;22.2
951;Argenteuil;293196;18.32;430278;3917.5;17.2
952;Sarcelles;325841;16.7;485841;1297.3;20.7
953;Pontoise;236613;17.77;354726;456.2;13.9
9711;Basse-Terre;137785;15.72;183522;216.6;N/A - résultat non disponible
9712;Pointe-à-Pitre;148362;14.76;200047;257.5;N/A - résultat non disponible
9721;Fort-de-France;113461;15.48;150323;877.5;24.7
9722;La Trinité;57440;13.86;73301;217.1;31.5
9723;Le Marin;88969;15.09;115038;281.2;26.4
9724;Saint-Pierre;17375;14.53;22357;106.3;27.8
9731;Cayenne;110149;15.86;181303;10.6;N/A - résultat non disponible
9732;Saint-Laurent-du-Maroni;50838;12.31;98344;2.4;N/A - résultat non disponible
9733;Saint-Georges;5310;N/A - résultat non disponible;8735;0.3;N/A - résultat non disponible
9741;Saint-Denis;144973;15.13;216588;741.4;33
9742;Saint-Pierre;219186;13.32;316805;333.3;37.5
9743;Saint-Benoît;85270;12.96;128965;173.8;44.3
9744;Saint-Paul;152770;15.09;218990;401.4;32.1
